Song,Artist,31-Jan,7-Feb,14-Feb,21-Feb,28-Feb,7-Mar
Wrapped Up,Olly Murs F/ Travie McCoy,,,8,2,,
Hell of a Night,ScHoolboy Q,9,8,7,,,
Wish You Hell,Like a Storm,7,8,7,,,
Right Back,"DJ Drama F/ Jeezy, Young Thug & Rich Homie Quan",7,7,7,,,
Sound of Change,Dirty Heads,7,7,7,,,
Drown,Bring Me the Horizon,8,6,7,,,
Somebody New,Joywave,4,6,7,,,
All Bad Things,Motley Crue,,6,7,,,
Hotel,Kid Ink F/ Chris Brown,1,3,7,,,
Preach,Young Dolph,,,7,,,
Boom Clap,Charli XCX,10,10,6,,,
Gold,Chet Faker,8,8,6,,,
Glory,Common & John Legend,15,7,6,,,
An Island,Chevelle,7,7,6,,,
G' S**t,T.I. F/ Jeezy & WatchTheDuck,7,7,6,,,
Rather Be,Clean Bandit F/ Jess Glynne,13,6,6,,,
Beggin' for Thread,Banks,8,6,6,,,
Yellow Flicker Beat,Lorde,8,6,6,,,
Baby Be My Love Song,Easton Corbin,6,6,6,,,
Don't It,Billy Currington,6,6,6,,,
Drunk Americans,Toby Keith,6,6,6,,,
Feels Like Forever,Of Mice and Men,6,6,6,,,
For Life,3 Years Hollow F/ Clint Lowery,6,6,6,,,
Freestyle,Lady Antebellum,6,6,6,,,
Girl Crush,Little Big Town,6,6,6,,,
Hard to Be Cool,Joe Nichols,6,6,6,,,
I Deserve It,Faith Evans F/ Missy Elliott & Sharaya J,6,6,6,,,
I Don't Want to Change You,Damien Rice,6,6,6,,,
Inside Out,Spoon,6,6,6,,,
Lay Low,Josh Turner,6,6,6,,,
Love Me Like You Mean It,Kalsea Ballerini,6,6,6,,,
Reincarnate,Motionless in White,6,6,6,,,
She Don't Love You,Eric Pasley,6,6,6,,,
Stronger,Tank,6,6,6,,,
Then Came the Morning,Lone Bellow,6,6,6,,,
Trailer Hitch,Kristian Bush,6,6,6,,,
Little Red Wagon,Miranda Lambert,6,6,6,,,
Ex's & Oh's,Elle King,6,6,6,,,
Chateau Lobby #4 (In C for Two Virgins),Father John Misty,6,6,6,,,
New Wave,Islander,6,6,6,,,
Riot,Rascal Flatts,5,6,6,,,
Smoke,A Thousand Horses,5,6,6,,,
Ain't My Fault,Jamie Foxx,4,6,6,,,
Conqueror,Estelle,,6,6,,,
Raise 'Em Up,Keith Urban F/ Eric Church,,6,6,,,
Love You Like That,Cannan Smith,6,5,6,,,
Get It,Matt and Kim,,5,6,,,
Karaoke,Smallpools,,5,6,,,
Hold Up Wait a Minute (Woo Woo),Antonique Smith,6,4,6,,,
Backflip,Casey Veggies F/ YG & IAMSU,2,4,6,,,
Coming for You,Offspring,,,6,,,
Diamond Rings and Old Barstools,Tim McGraw W/ Catherine Dunn,,,6,,,
Let the Good Times Roll,JD McPherson,,,6,,,
Mamacita,Travi$ Scott F/ Young Thug & Rich Homie Quan,,,6,,,
This Could Be Us,Prince,,,6,,,
Untraveled Road,Thousand Foot Krutch,,,6,,,
One Last Time,Ariana Grande,,,6,5,20,17
Uma Thurman,Fall Out Boy,29,19,5,,,
Awwsome,Shy Glizzy,8,8,5,,,
The Nights,Avicii,6,6,5,,,
Up All Night,Damon D,,6,5,6,,6
Hit the Ground,Hinder,6,5,5,,,
Trouble,Gloriana,5,5,5,,,
Absolution Calling,Incubus,,,5,,,
Better Than You Left Me,Mickey Guyton,,,5,,,
Collide,Justine Skye F/ Tyga,,,5,,,
Hell of a Night,Dustin Lynch,,,5,,,
I Blew It Off,Punch Brothers,,,5,,,
Miscellanea,10 Years,,,5,,,
Trampoline,Kalin and Myles,,,5,,,
The Only Way Out,Bush,10,10,4,,,
Can't Break Me Down,Billy Idol,6,6,4,,,
My Main,Mila J F/ Ty Dolla $ign,6,6,4,,,
Reflections,Misterwives,6,6,4,,,
Da Vinci,Weezer,6,6,4,,,
I Want Out,Young Guns,6,4,4,,,
Bad Habit,Kooks,6,4,4,,,
I Feel Good,Urban Mystic,6,4,4,,,
When I've Been Drinkin',Jon Pardi,5,4,4,,,
Losing Sleep,Boyz II Men,4,4,4,,,
Sober,Childish Gambino,3,3,4,,,
I Mean It,G-Eazy F/ Remo,2,,4,,,
My Type,Saint Motel,,,4,,,
Steal My Girl,One Direction,20,18,3,,,
Good Kisser,Usher,7,6,3,,,
Like a Man,Boosie Badazz F/ Rich Homie Quan,6,6,3,,,
The Devil in I,Slipknot,5,3,3,,,
Heaven Knows,Pretty Reckless,3,3,3,,,
All of Me,John Legend,3,3,3,,,
I'm An Albatraoz,Aronchupa,,,3,,,
Moth,HellYeah,10,7,2,,,
Everywhere I Go (Kings & Queens),New Politics,6,6,2,,,
Flaws,Bastille,6,6,2,,,
Mom,Garth Brooks,6,6,2,,,
Rebellion,Linkin Park F/ Daron Malakian,6,6,2,,,
Headphones,Matt Nathanson F/ LOLO,5,6,2,,,
Never Been in Love,Cobra Starship F/ Icona Pop,4,4,2,,,
Earthquake Driver,Counting Crows,4,3,2,,,
She Came to Give It to You,Usher F/ Nicki Minaj,2,3,2,,,
***Flawless,Beyoncé F/ Chimamanda Ngozi Adichie,9,2,2,,,
Maybe,Teyana Taylor F/ Pusha T & Yo Gotti,6,2,2,,,
Doc Holliday,Volbeat,6,2,2,,,
Work It Out,Knox Hamilton,6,2,2,,,
Play Ball,AC/DC,4,2,2,,,
Let Your Hair Down,MAGIC!,4,2,2,,,
Call My Name,Morgan James,4,2,2,,,
Blah Blah Blah,Rich Homie Quan,3,2,2,,,
Superheroes,The Script,2,2,2,,,
A Sky Full of Stars,Coldplay,2,2,2,,,
Dirty White Boots,Lenny Kravitz,2,2,2,,,
Love Runs Out,OneRepublic,2,2,2,,,
Final Masquerade,Linkin Park,12,11,1,,,
Crystalized,Young the Giant,4,3,1,,,
She's the One,Ray Lamontagne,3,3,1,,,
Breaking Skin,Nonpoint,2,1,1,,,
Lay Me Down,Sam Smith,,,1,,,10
Worth It,Fifth Harmony F/ Kid Ink,,20,,,,
In Your Arms,Nico & Vinz,26,7,,,,
Savages,Theory of a Deadman F/ Alice Cooper,6,6,,,,
Immortals,Fall Out Boy,,6,,,,
Satelites,Ben Jamien,,5,,,,
No Love,August Alsina,13,4,,,,
Secrets,Mary Lambert,6,4,,,,
Wrong,Airbourne Toxic Event,4,3,,,,
Recognize,PARTYNEXTDOOR F/ Drake,3,3,,,,
2 On,Tinashe F/ ScHoolboy Q,2,3,,,,
Slow Motion,Trey Songz,,3,,,,
Beautiful,Pop Evil,9,2,,,,
Shatter Me,Lindsey Stirling F/ Lzzy Hale,6,2,,,,
Gentle on My Mind,The Band Perry,5,2,,,,
You and Your Friends,Wiz Khalifa F/ Snoop Dogg & Ty Dolla $ign,4,2,,,,
Kiss You Tonight,David Nail,4,2,,,,
Ring Off,Beyonce',4,2,,,,
If They Knew,Rick Ross F/ K. Michelle,3,2,,,,
It's Your World,Jennifer Hudson F/ R. Kelly,2,2,,,,
Louder Than Words,Pink Floyd,2,2,,,,
She Knows Me,Bryan Adams,2,2,,,,
The Miracle (of Joey Ramone),U2,2,2,,,,
Something New,Axwell & Ingrosso,,2,,,,
DnF,P. Reign F/ Drake & Future,4,1,,,,
Believer,American Authors,2,1,,,,
Dear Future Husband,Meghan Trainor,18,,,,,
Too Cool to Dance,Eden XO,12,,,,,
Trumpets,Jason Derulo,7,,,,,
Me and My Broken Heart,Rixton,6,,,,,
Dangerous,Shaman's Harvest,4,,,,,
Lifestyle,Rich Gang F/ Young Thug & Rich Homie Quan,4,,,,,
Let Me Down Easy,Paolo Nutini,4,,,,,
Leaving You Behind,Emii,3,,,,,
You & I (Nobody in the World),John Legend,3,,,,,
"Cadillac, Cadillac",Train,2,,,,,
Edge of a Revolution,Nickelback,2,,,,,
Favorite Song,O.A.R.,2,,,,,
Fire,Gavin DeGraw,2,,,,,
Jaded,George Tandy Jr.,2,,,,,
Break the Rules,Charli XCX,,,,,,
Irresistible,Fall Out Boy,,,,,,
Somewhere in My Car,Keith Urban,,,,,,
Best Friends,Sophia Grace,,,,,,
Blank Space,I Prevail,,,,,,
Fools Gold,Fitz & the Tantrums,,,,,,
Let's Be Still,Head and the Heart,,,,,,
Something Big,Shawn Mendes,,,,,,
Spend the Night,Dave Hollister,,,,,,
All This Could Be Yours,Cold War Kids,,,,,,
Break Free,Ariana Grande F/ Zedd,,,,,,
Bed of Lies,Nicki Minaj F/ Skylar Grey,,,,,,
Light Will Keep Your Heart Beating in the Future,Mike Doughty,,,,,,
Love Never Felt So Good,Michael Jackson & Justin Timberlake,,,,,,
Low Key,Tweedy,,,,,,
Nobody Love,Tori Kelly,,,,,3,12
The Longest Way,Nick De La Hoyde,,,,,5,7
